Date,SalesPerson,Region,Category,Product,Quantity,UnitPrice,Sales
2025-10-31,Alice,South,Office Supplies,Notebook,6,8,48
2025-03-17,Grace,West,Electronics,Monitor,2,300,600
2025-08-19,Grace,East,Electronics,Laptop,2,1200,2400
2025-02-03,Emily,West,Electronics,Printer,1,250,250
2025-10-23,Grace,North,Office Supplies,Pen Pack,10,12,120
2025-09-04,Emily,East,Electronics,Mouse,5,35,175
2025-01-04,Frank,North,Electronics,Mouse,6,35,210
2025-06-09,Frank,North,Office Supplies,Notebook,2,8,16
2025-08-11,Alice,West,Office Supplies,Calculator,3,40,120
2025-05-05,Carlos,North,Office Supplies,Calculator,4,40,160
2025-10-19,Henry,North,Office Supplies,Notebook,3,8,24
2025-08-26,Grace,West,Furniture,Office Chair,2,220,440
2025-01-28,Grace,West,Furniture,Desk,8,450,3600
2025-09-01,Frank,East,Office Supplies,Pen Pack,5,12,60
2025-03-19,Alice,North,Office Supplies,Pen Pack,1,12,12
2025-04-05,Henry,North,Electronics,Keyboard,4,50,200
2025-10-30,Frank,East,Electronics,Keyboard,2,50,100
2025-05-07,Diana,East,Electronics,Mouse,10,35,350
2025-05-14,Alice,North,Office Supplies,Paper,6,15,90
2025-02-04,Alice,South,Furniture,Office Chair,8,220,1760
2025-06-13,Frank,East,Electronics,Mouse,1,35,35
2025-11-09,Diana,South,Furniture,Office Chair,1,220,220
2025-06-16,Frank,South,Electronics,Keyboard,7,50,350
2025-08-07,Brian,West,Electronics,Mouse,1,35,35
2025-08-20,Emily,West,Electronics,Keyboard,9,50,450
2025-06-18,Diana,South,Electronics,Laptop,5,1200,6000
2025-05-25,Carlos,North,Office Supplies,Notebook,3,8,24
2025-12-11,Brian,South,Electronics,Laptop,9,1200,10800
2025-05-19,Brian,West,Furniture,Desk,3,450,1350
2025-06-06,Diana,East,Furniture,Bookshelf,2,180,360
2025-01-10,Diana,East,Furniture,Desk,7,450,3150
2025-11-29,Alice,South,Electronics,Monitor,9,300,2700
2025-01-08,Emily,North,Electronics,Printer,8,250,2000
2025-05-10,Grace,East,Electronics,Monitor,1,300,300
2025-05-21,Emily,North,Electronics,Printer,6,250,1500
